Re,d,Sc,C,U,E
100,0.1,0.5,0.118192648,0.123010452,0.07507462
100,0.1,0.6,0.1152503,0.123010179,0.075074616
100,0.1,0.7,0.113453443,0.123010408,0.07507481
100,0.1,0.8,0.11254203,0.123010949,0.075075101
100,0.1,0.9,0.112308758,0.12301066,0.075074993
100,0.1,1,0.112594795,0.123010543,0.075074933
100,0.2,0.5,0.162974507,0.125777577,0.076388344
100,0.2,0.6,0.165805876,0.125777581,0.076388452
100,0.2,0.7,0.169519861,0.125777504,0.076388438
100,0.2,0.8,0.173942448,0.125777438,0.076388477
100,0.2,0.9,0.178912484,0.125777192,0.076388355
100,0.2,1,0.184293383,0.125777044,0.076388295
100,0.3,0.5,0.21612499,0.128129182,0.077523989
100,0.3,0.6,0.226097093,0.128129252,0.077524136
100,0.3,0.7,0.23641627,0.128128865,0.077523907
100,0.3,0.8,0.246990526,0.128129273,0.077524283
100,0.3,0.9,0.257708595,0.128128808,0.077523948
100,0.3,1,0.268468883,0.128128702,0.077523928
100,0.4,0.5,0.274568986,0.130102288,0.078496858
100,0.4,0.6,0.291629203,0.130101984,0.078496511
100,0.4,0.7,0.308112305,0.130102139,0.07849689
100,0.4,0.8,0.324080078,0.130102004,0.078496766
100,0.4,0.9,0.339542455,0.130101878,0.078496743
100,0.4,1,0.354495135,0.130102087,0.078497011
100,0.5,0.5,0.33494676,0.131801629,0.079348637
100,0.5,0.6,0.358044448,0.131801429,0.079348407
100,0.5,0.7,0.379425294,0.131801491,0.07934876
100,0.5,0.8,0.399411786,0.131801391,0.079348447
100,0.5,0.9,0.418207401,0.131801258,0.079348462
100,0.5,1,0.435950474,0.131801406,0.079348779
100,0.6,0.5,0.394199758,0.133465994,0.080182928
100,0.6,0.6,0.421891221,0.133465843,0.080183323
100,0.6,0.7,0.446745965,0.133465753,0.080183178
100,0.6,0.8,0.469401629,0.133465603,0.08018318
100,0.6,0.9,0.490267161,0.133465627,0.080182935
100,0.6,1,0.509621851,0.133465687,0.080183294
500,0.1,0.5,0.070358381,0.743058108,0.049090037
500,0.1,0.6,0.072074653,0.743062686,0.049089234
500,0.1,0.7,0.073130788,0.743063426,0.049089108
500,0.1,0.8,0.073633981,0.743061574,0.049089544
500,0.1,0.9,0.073719009,0.74305689,0.049090111
500,0.1,1,0.073469963,0.743060133,0.049089767
500,0.2,0.5,0.140113951,0.738766652,0.048476333
500,0.2,0.6,0.14588794,0.738770318,0.04847584
500,0.2,0.7,0.149664708,0.738771034,0.048475732
500,0.2,0.8,0.151913481,0.738768458,0.048476055
500,0.2,0.9,0.153018495,0.738775642,0.048475038
500,0.2,1,0.153299174,0.738767858,0.048476128
500,0.3,0.5,0.217204242,0.731649024,0.047691846
500,0.3,0.6,0.226142446,0.731647668,0.047692014
500,0.3,0.7,0.232115963,0.731649894,0.047691707
500,0.3,0.8,0.235924431,0.731655481,0.04769095
500,0.3,0.9,0.238075579,0.731653139,0.047691237
500,0.3,1,0.239092598,0.73165602,0.047690866
500,0.4,0.5,0.294738908,0.720135347,0.046733584
500,0.4,0.6,0.30666316,0.720135591,0.046733542
500,0.4,0.7,0.315090455,0.72013978,0.046733023
500,0.4,0.8,0.320899216,0.720146347,0.046732211
500,0.4,0.9,0.324832347,0.720135097,0.046733579
500,0.4,1,0.327344291,0.720147181,0.046732099
500,0.5,0.5,0.370635101,0.706924166,0.045758794
500,0.5,0.6,0.385568195,0.706919783,0.045759589
500,0.5,0.7,0.396634212,0.706916326,0.045760079
500,0.5,0.8,0.404900908,0.706925448,0.045759039
500,0.5,0.9,0.411100204,0.706922095,0.045759312
500,0.5,1,0.41571776,0.706926811,0.045758875
500,0.6,0.5,0.443202048,0.694064907,0.044939755
500,0.6,0.6,0.460825822,0.69407125,0.044939054
500,0.6,0.7,0.474298788,0.69407854,0.044938255
500,0.6,0.8,0.48465061,0.694063393,0.044939895
500,0.6,0.9,0.492815404,0.694076493,0.044938467
500,0.6,1,0.499358238,0.694065742,0.04493963
1000,0.1,0.5,0.063850397,0.928076011,0.040305848
1000,0.1,0.6,0.061249236,0.928074648,0.040306081
1000,0.1,0.7,0.058585378,0.928075442,0.040305944
1000,0.1,0.8,0.05608276,0.928073931,0.040306194
1000,0.1,0.9,0.053791102,0.928076924,0.040305642
